,SK_ID_CURR,TARGET
0,100001,0.0650511535036589
1,100005,0.1264008628620722
2,100013,0.08123883481753814
3,100028,0.06150936361445503
4,100038,0.12830764326246158
5,100042,0.055893562654302634
6,100057,0.08303505659957822
7,100065,0.12547014945404758
8,100066,0.05035906244185308
9,100067,0.1032945696770485
10,100074,0.06324561358749237
11,100090,0.11512749959390199
12,100091,0.11715822104511232
13,100092,0.09810110738049091
14,100106,0.15582105555336917
15,100107,0.11181272003296598
16,100109,0.09856982364431127
17,100117,0.07621643925456383
18,100128,0.07349350185004873
19,100141,0.087928080850478
20,100150,0.0754969800108019
21,100168,0.06499484686526817
22,100169,0.04432495822613235
23,100170,0.08690339091889719
24,100171,0.09982796639888064
25,100172,0.12153726652090698
26,100184,0.07391717210447454
27,100187,0.061739081507788805
28,100212,0.08580741486609235
29,100222,0.08476303380360352
30,100223,0.06309495139766647
31,100232,0.07324641756621238
32,100241,0.1411894160301818
33,100245,0.07944665703269002
34,100253,0.06144341107720485
35,100256,0.09450552250060652
36,100271,0.05483319047297365
37,100278,0.10646984965464179
38,100280,0.07066897821557816
39,100306,0.15388845599462242
40,100311,0.10708583173122703
41,100312,0.06354206411778851
42,100330,0.07495907404325679
43,100331,0.08947734436037075
44,100352,0.09284457873378961
45,100358,0.09300646295957891
46,100367,0.08562889481562201
47,100382,0.08528106471159601
48,100384,0.07421528114337465
49,100385,0.11568043013464611
50,100386,0.09037798935695135
51,100399,0.07180169163277558
52,100404,0.0692637614287725
53,100416,0.07177980818878783
54,100422,0.12102744691321071
55,100426,0.07943465420508554
56,100438,0.06845415904714287
57,100444,0.11472582332051413
58,100445,0.12338752376867884
59,100446,0.11718791412933062
60,100447,0.06484685933662432
61,100450,0.073684897940814
62,100466,0.08577776882932901
63,100483,0.0728852833188857
64,100484,0.052560838077373724
65,100494,0.08403868913148663
66,100510,0.12550612364273958
67,100512,0.05955091684647272
68,100517,0.0695516998008002
69,100548,0.05836370540743317
70,100551,0.07007066447882378
71,100552,0.1256188788202177
72,100553,0.08592070699338528
73,100561,0.09290545248633339
74,100568,0.12349820383732113
75,100569,0.06932599505218809
76,100591,0.09532500450649677
77,100592,0.04786700047993434
78,100602,0.10761530978210722
79,100607,0.0791573375212147
80,100613,0.08342402592094021
81,100617,0.0781907019065251
82,100618,0.09140864410334726
83,100622,0.1635419474665526
84,100625,0.12431263176237183
85,100677,0.08352778474211335
86,100699,0.07670660572911973
